MARC-Feld	Vorkommen	Mehrfachbelegung	Feld im Katalog	Reihenfolge	Trennzeichen davor	Kommentar	Umsetzung
001	442352	5688	id				07_6-7.json
020 : a	148253	62061	ISBN				07_6-6.json
022 : a	14522	1407	ISSN				07_6-8.json
024 : a	321182	67331					
041 : a	200067	6732	Sprache				07_6-8.json
041 : b	102	25					
041 : h	4699	90					
050 : a	58972	3319	LCC			Library of Congress Classification	07_6-8.json
060 : a	8058	1915					
082 : a	114773	58876	DDC			Dewey Decimal Classification	07_6-8.json
082 : c	2	0				löschen	07_6-2.json
100 : 0	49236	48449					
100 : 4	5255	28					
100 : 6	2	0				löschen	07_6-2.json
100 : 9	10	0					
100 : a	212393	449	Urheber	1			07_6-8.json
100 : b	423	2					
100 : c	2367	6					
100 : d	65406	378	Urheber	2	in Klammern setzen		07_6-8.json
100 : e	13380	44					
100 : h	2	0				löschen	07_6-2.json
100 : m	4	3				löschen	07_6-2.json
100 : n	6	1				löschen	07_6-2.json
100 : p	8	1				löschen	07_6-2.json
100 : r	4	0				löschen	07_6-2.json
100 : t	369	17					
110 : 0	7513	7446					
110 : 4	1521	0					
110 : 9	12812	330					
110 : a	55857	1091	Urheber	4		wenn Urheber 1-3 leer	07_6-8.json
110 : b	15372	786	Urheber	5	.	wenn Urheber 1-3 leer	07_6-8.json
110 : c	816	1					
110 : d	795	0					
110 : e	1532	0					
110 : f	20	0					
110 : g	1385	1					
110 : n	535	1					
110 : p	12	1					
110 : t	620	28					
110 : x	83	3					
111 : 9	80	7					
111 : a	7966	181					
111 : c	7328	150					
111 : d	7504	152					
111 : e	23	3					
111 : n	3473	72					
245 : 6	16	0					
245 : a	212904	62	Titel	1			07_6-4.json
245 : b	127293	30	Titel	2	,		07_6-4.json
245 : c	180317	42	Urheber	3	-	wenn Urheber 1 leer	07_6-8.json
245 : h	63164	26	Medientyp				07_6-8.json
245 : n	11560	679	Titel	3	 - 		07_6-4.json
245 : p	11456	679	Titel	4	 - 		07_6-4.json
246 : a	25895	10075	Titel	5	 - 		07_6-4.json
246 : b	266	11					
246 : g	62	0					
246 : i	8772	1097					
260 : a	209633	17568	Ort				07_6-8.json
260 : b	203176	7376	Verlag				07_6-8.json
260 : c	204934	5478	Datum / Jahr			Jahr = vierstellig Jahreszahl aus Datum	07_6-8.json
500 : 0	27063	27062					
500 : 9	27392	25627					
500 : a	132080	29637	Beschreibung	1			07_6-8.json
500 : b	948	323					
500 : c	5533	2212					
500 : e	27390	19092					
500 : i	27392	19093					
500 : w	27783	19164					
500 : z	13	0					
501 : a	916	16					
502 : a	12686	50	Beschreibung	2	␟		07_6-8.json
502 : b	1132	6					
502 : c	1120	5					
502 : d	1050	4					
502 : g	3	0				löschen	07_6-2.json
504 : a	514	0					
505 : a	23376	10499					
510 : 0	55793	55512					
510 : 9	55856	31669					
510 : a	57203	22635					
510 : b	16232	4927					
510 : e	55732	22541					
510 : i	55732	22541					
510 : n	24	0					
510 : w	55732	22541					
510 : x	7	1				löschen	07_6-2.json
511 : 0	996	995					
511 : 9	996	212					
511 : a	1068	197					
511 : c	778	155					
511 : d	794	160					
511 : e	3	0				löschen	07_6-2.json
511 : i	996	197					
511 : j	996	197					
511 : n	662	126					
511 : w	996	197					
515 : a	7229	6	Beschreibung	3	␟		07_6-8.json
520 : a	23794	2259	Beschreibung	4	␟		07_6-8.json
530 : 0	565	564					
530 : 9	573	183					
530 : a	253	56					
530 : f	17	1					
530 : i	573	141					
530 : p	10	0					
530 : w	573	141					
533 : 7	19591	9					
533 : a	34194	16					
533 : b	6984	9					
533 : c	6982	9					
533 : d	19591	9					
533 : e	748	0					
533 : f	19083	51					
533 : n	13327	62					
534 : a	21	0					
534 : n	435	0					
535 : a	2	1				löschen	07_6-2.json
538 : a	1798	41					
546 : a	4253	11					
548 : 9	106570	32958					
548 : a	106570	21837					
548 : i	106570	21837					
548 : w	106570	21837					
550 : 0	116085	115351					
550 : 9	122544	72779					
550 : a	122479	71598					
550 : i	122544	71652					
550 : w	122544	71652					
